epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,170.947,1.82451,2.5533,2.41593,0.05665,0.78388,0.63187,0.74382,0.4444,1.39317,1.04955,1.99442,0.03454,0.00199561,0.000665205,0.00199561,0.000665205,0.00199561,0.000665205,0.00199561,0.000665205
2,274.483,1.38633,1.00584,1.73833,0.0398,0.83553,0.73907,0.84772,0.54969,1.19791,0.76124,1.59259,0.02579,0.0039165,0.0013055,0.0039165,0.0013055,0.0039165,0.0013055,0.0039165,0.0013055
3,361.282,1.28429,0.84715,1.49303,0.03611,0.86836,0.77199,0.8824,0.58461,1.12172,0.69774,1.41763,0.02223,0.00575819,0.0019194,0.00575819,0.0019194,0.00575819,0.0019194,0.00575819,0.0019194
4,473.37,1.24226,0.7877,1.35264,0.03437,0.87747,0.78031,0.88787,0.58609,1.10971,0.68374,1.31645,0.02165,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,561.65,1.18186,0.7491,1.30049,0.0299,0.8912,0.79057,0.89973,0.6107,1.06199,0.65807,1.19203,0.02142,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,650.519,1.18302,0.74472,1.23128,0.03335,0.89894,0.80128,0.90569,0.61873,1.04273,0.63686,1.18068,0.01994,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,737.752,1.14324,0.71455,1.19785,0.03168,0.90389,0.81169,0.91418,0.62581,1.02441,0.63011,1.17021,0.0185,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,825.149,1.11747,0.6919,1.18163,0.02926,0.90427,0.81169,0.9112,0.62861,1.01195,0.61673,1.16573,0.0182,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,913.639,1.10668,0.68959,1.1694,0.0292,0.90596,0.81098,0.91169,0.63819,0.99526,0.60581,1.11364,0.01806,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,1000.47,1.11079,0.67977,1.16273,0.02982,0.91618,0.80929,0.91775,0.64233,0.99432,0.598,1.09584,0.01892,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,1088.95,1.07509,0.66507,1.11891,0.02727,0.91795,0.82238,0.9239,0.65282,0.97889,0.59264,1.08943,0.0178,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,1176.04,1.06686,0.65551,1.10222,0.02662,0.90836,0.82449,0.92159,0.64739,0.97901,0.5923,1.06728,0.01771,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
